id,source,target,type
22672,11297,14148,contains
22673,11297,14149,contains
22674,11297,14150,contains
22675,11297,14151,contains
22676,11299,14152,contains
22677,11299,14153,contains
22678,11300,14154,contains
22679,11300,14155,contains
22680,11301,14156,contains
22681,11301,14157,contains
22682,11302,14158,contains
22683,11305,14159,contains
22684,11305,14160,contains
22685,11306,14161,contains
22686,11306,14162,contains
22687,11306,14163,contains
22688,11306,14164,contains
22689,11306,14165,contains
22690,11307,14166,contains
22691,11307,14167,contains
22692,11307,14168,contains
22693,11308,14169,contains
22694,11308,14170,contains
22695,11309,14171,contains
22696,11309,14172,contains
22697,11309,14173,contains
22698,11309,14174,contains
22699,11308,14175,contains
22700,11309,14176,contains
22701,11309,14177,contains
22702,11309,14178,contains
22703,11310,14179,contains
22704,11310,14180,contains
22705,11310,14181,contains
22706,11310,14182,contains
22707,11310,14183,contains
22708,11310,14184,contains
22709,11310,14185,contains
22710,11314,14186,contains
22711,11314,14187,contains
22712,11314,14188,contains
22713,11314,14189,contains
22714,11314,14190,contains
22715,11314,14191,contains
22716,11315,14192,contains
22717,11315,14193,contains
22718,11319,14194,contains
22719,11319,14195,contains
22720,11320,14196,contains
22721,11324,14197,contains
22722,11325,14198,contains
22723,11328,14199,contains
22724,11328,14200,contains
22725,11329,14201,contains
22726,11329,14202,contains
22727,11329,14203,contains
22728,11329,14204,contains
22729,11329,14205,contains
22730,11329,14206,contains
22731,11329,14207,contains
22732,11329,14208,contains
22733,11329,14209,contains
22734,11329,14210,contains
22735,11331,14211,contains
22736,11335,14212,contains
22737,11335,14213,contains
22738,11335,14214,contains
22739,11335,14215,contains
22740,11335,14216,contains
22741,11337,14217,contains
22742,11337,14218,contains
22743,11346,14219,contains
22744,11346,14220,contains
22745,11346,14221,contains
22746,11348,14222,contains
22747,11350,14223,contains
22748,11351,14224,contains
22749,11351,14225,contains
22750,11351,14226,contains
22751,11352,14227,contains
22752,11352,14228,contains
22753,11353,14229,contains
22754,11353,14230,contains
22755,11353,14231,contains
22756,11355,14232,contains
22757,11355,14233,contains
22758,11355,14234,contains
22759,11355,14235,contains
22760,11356,14236,contains
22761,11356,14237,contains
22762,11357,14238,contains
22763,11360,14239,contains
22764,11361,14240,contains
22765,11363,14241,contains
22766,11369,14242,contains
22767,11370,14243,contains
22768,11370,14244,contains
22769,11379,14245,contains
22770,11380,14246,contains
22771,11380,14247,contains
